name,ratings,reviews,type_locations,salaries,interviews,jobs,benefits
TCS,3.3,(1.1L),IT Services & Consulting | Bangalore / Bengaluru +437 other locations,9.7L,11.7k,3k,10.6k
Accenture,3.7,(70.9k),IT Services & Consulting | Bangalore / Bengaluru +255 other locations,6.4L,9.1k,36.6k,6.7k
Wipro,3.6,(62.9k),IT Services & Consulting | Hyderabad / Secunderabad +370 other locations,4.7L,6.5k,5.7k,4.6k
Cognizant,3.6,(59.8k),IT Services & Consulting | Hyderabad / Secunderabad +229 other locations,5.9L,6.3k,680,5.5k
Capgemini,3.7,(51.4k),IT Services & Consulting | Bangalore / Bengaluru +183 other locations,4.7L,5.4k,1.9k,3.6k
HDFC Bank,3.8,(50.3k),Banking | Mumbai +1817 other locations,1.5L,2.8k,215,3.2k
Infosys,3.5,(47k),IT Services & Consulting | Bangalore / Bengaluru +246 other locations,5.2L,8.3k,2.3k,4.8k
ICICI Bank,4.0,(45.1k),Banking | Mumbai +1436 other locations,1.5L,2.8k,23,3.7k
HCLTech,3.4,(44.3k),IT Services & Consulting | Chennai +226 other locations,3.7L,4.4k,201,3.8k
Tech Mahindra,3.4,(42.2k),IT Services & Consulting | Hyderabad / Secunderabad +336 other locations,2.8L,4.4k,388,3.4k
Genpact,3.6,(40.6k),IT Services & Consulting | Hyderabad / Secunderabad +182 other locations,2.3L,3.7k,475,3.5k
Teleperformance,3.8,(36.4k),BPO | Mumbai +254 other locations,95.5k,2.1k,1.1k,1.8k
Axis Bank,3.6,(32.2k),Banking | Mumbai +1497 other locations,1L,1.8k,188,2.1k
Jio,4.3,(31.7k),Telecom | Mumbai +1866 other locations,62.4k,3.5k,3,2.5k
Concentrix Corporation,3.6,(31.4k),BPO | Bangalore / Bengaluru +179 other locations,1.3L,1.9k,61,3.1k
Amazon,3.9,(30.6k),Internet | Bangalore / Bengaluru +521 other locations,1.5L,5.7k,1.5k,4.1k
iEnergizer,4.6,(27.4k),BPO | Noida +51 other locations,23.9k,1k,54,430
Reliance Retail,3.9,(26.9k),Retail | Mumbai +1149 other locations,74.4k,1.9k,85,1.9k
LTIMindtree,3.6,(25.6k),IT Services & Consulting | Bangalore / Bengaluru +146 other locations,1.9L,3.3k,408,776
IBM,3.9,(25.3k),IT Services & Consulting | Bangalore / Bengaluru +160 other locations,2.1L,2.6k,2.7k,2.6k
HDB Financial Services,3.9,(25.1k),NBFC | Mumbai +1086 other locations,50k,1k,161,1.5k
Larsen & Toubro Limited,3.9,(23.1k),Engineering & Construction | Chennai +753 other locations,73.8k,1.8k,174,2.8k
Deloitte,3.7,(22.2k),Management Consulting | Hyderabad / Secunderabad +187 other locations,2.4L,3.2k,1.3k,2.4k
Kotak Mahindra Bank,3.6,(21.8k),Banking | Mumbai +681 other locations,86.3k,1.3k,64,1.3k
Reliance Industries,4.0,(19.7k),Oil & Gas | Jamnagar +812 other locations,72.6k,1.5k,58,1.8k
Vodafone Idea,3.9,(17.5k),Telecom | Pune +700 other locations,50.4k,654,52,2k
Bharti Airtel,3.8,(16.8k),Telecom | Gurgaon / Gurugram +788 other locations,48.7k,1.1k,122,1.6k
BYJU'S,3.2,(16.6k),EdTech | Bangalore / Bengaluru +322 other locations,54.1k,2.1k,--,1.7k
WNS,3.3,(14.7k),IT Services & Consulting | Pune +65 other locations,69.8k,1.2k,80,1.3k
Tata Motors,4.1,(13.9k),Automobile | Pune +507 other locations,43.1k,1.2k,163,1.6k
IDFC FIRST Bank,3.9,(13.8k),Banking | Mumbai +710 other locations,48.8k,885,46,695
Ernst & Young,3.4,(13.8k),Management Consulting | Bangalore / Bengaluru +131 other locations,1.4L,1.3k,4.7k,1.2k
