type,title,company,location,salary,experience,duration,skills,link,source
Internship,Video Editing/Making,603 The CoWorking Space India,"Mumbai, Bandra","₹ 12,000 - 15,000 /month",Fresher,N/A,JavaScriptCreativityPythonTime ManagementC Programming3D ModelingC++ Programming+3 more,https://internshala.com/internship/detail/video-editing-making-internship-in-multiple-locations-at-603-the-coworking-space-india1766138289,Internshala
Internship,Python Development,Warewe Consultancy Private Limited,Gurgaon,"₹ 15,000 - 20,000 /month",Fresher,N/A,PythonDjangoNode.jsPostgreSQLREST APIStripe Payment APIFastAPI,https://internshala.com/internship/detail/python-development-internship-in-gurgaon-at-warewe-consultancy-private-limited1767509944,Internshala
Internship,QA Testing,Robin Home AI,Bangalore,"₹ 20,000 - 30,000 /month",Fresher,N/A,JavaPythonSwift,https://internshala.com/internship/detail/qa-testing-internship-in-bangalore-at-robin-home-ai1767093693,Internshala
Internship,Artificial Intelligence (AI),JAGATMITRA LEGALSERVICES,Delhi,"₹ 5,000 /month",Fresher,N/A,PythonData StructuresMachine LearningData ScienceNeural NetworksNatural Language Processing (NLP)Deep Learning+1 more,https://internshala.com/internship/detail/artificial-intelligence-ai-internship-in-delhi-at-jagatmitra-legalservices1767506364,Internshala
Internship,Full Stack Development,BELAKHEDA UDAY BHARTI SAMAJ KALYAN SAMITEE,Chennai,Unpaid,Fresher,N/A,MySQLJavaScriptPythonMongoDBAngularJSNode.jsReact+4 more,https://internshala.com/internship/detail/full-stack-development-internship-in-chennai-at-belakheda-uday-bharti-samaj-kalyan-samitee1767501500,Internshala
Internship,Artificial Intelligence (AI),Almost Magic Private Limited,"Chandigarh, Mohali, Panchkula","₹ 7,500 - 12,500 /month",Fresher,N/A,PythonData StructuresMachine LearningData ScienceNeural NetworksNatural Language Processing (NLP)Deep Learning+1 more,https://internshala.com/internship/detail/artificial-intelligence-ai-internship-in-multiple-locations-at-almost-magic-private-limited1767181676,Internshala
Internship,Robotics Perception & Controls,Ometaura AI,Delhi                                                                (Hybrid),"₹ 10,000 - 20,000 /month",Fresher,N/A,PythonRoboticsControl systemsC++ ProgrammingRobot Operating System (ROS)Linear Algebra,https://internshala.com/internship/detail/robotics-perception-controls-internship-in-delhi-at-ometaura-ai1767068536,Internshala
Internship,Project Engineer,ErgLocale,Guwahati,"₹ 10,000 - 20,000 /month",Fresher,N/A,PythonElectrical MachinesEnglish Proficiency (Spoken)English Proficiency (Written)Engineering DrawingData Analysis,https://internshala.com/internship/detail/project-engineer-internship-in-guwahati-at-erglocale1766154445,Internshala
Internship,Startup Mentor,Netwale,"Malappuram, Nilambur, Kalikavu                                                                (Hybrid)","₹ 3,000 - 5,000 /month",Fresher,N/A,LeadershipPythonStrategyMentorshipBusiness DevelopmentInterpersonal skillsClaude+1 more,https://internshala.com/internship/detail/part-time-startup-mentor-internship-in-multiple-locations-at-netwale1765345373,Internshala
Internship,Executive Account Manager,Alcove Business Advisory Private Limited,Visakhapatnam                                                                (Hybrid),"₹ 5,000 - 9,000 /month",Fresher,N/A,Social Media MarketingPythonFinanceAccountingMarket AnalysisClient RelationshipMarketing Campaigns +4 more,https://internshala.com/internship/detail/executive-account-manager-internship-in-visakhapatnam-at-alcove-business-advisory-private-limited1765282302,Internshala
Internship,School Robotics Trainer,Sarga Additive Manufacturing Private Limited,Delhi                                                                (Hybrid),"₹ 10,000 - 15,000 /month",Fresher,N/A,PythonPresentation skillsTeachingC ProgrammingEffective Communication,https://internshala.com/internship/detail/school-robotics-trainer-internship-in-delhi-at-sarga-additive-manufacturing-private-limited1764995892,Internshala
Internship,Python Development,Aadhvik Technologies,Work from home,"₹ 2,000 - 3,000 /month",Fresher,N/A,Python,https://internshala.com/internship/detail/work-from-home-python-development-internship-at-aadhvik-technologies1767512836,Internshala
Internship,Machine Learning,Maxgen Technologies Private Limited,Ahmedabad,"₹ 5,000 - 12,000 /month",Fresher,N/A,PythonMachine LearningNatural Language Processing (NLP)Deep Learning,https://internshala.com/internship/detail/machine-learning-internship-in-ahmedabad-at-maxgen-technologies-private-limited1767454964,Internshala
Internship,Machine Learning,CareerNest,Work from home,"₹ 10,000 - 25,000 /month",Fresher,N/A,PythonMachine LearningData Science,https://internshala.com/internship/detail/work-from-home-machine-learning-internship-at-careernest1767427369,Internshala
Internship,Python Development,Treviax.in,Work from home,"₹ 15,000 - 25,000 /month",Fresher,N/A,HTMLCSSPythonDjangoMachine LearningREST APIFlask,https://internshala.com/internship/detail/work-from-home-python-development-internship-at-treviaxin1767416002,Internshala
Internship,Data Analytics,Treviax.in,Work from home,"₹ 10,000 - 20,000 /month",Fresher,N/A,PythonSQLData AnalyticsMS-ExcelData SciencePower BITableau,https://internshala.com/internship/detail/work-from-home-data-analytics-internship-at-treviaxin1767415743,Internshala
Internship,Machine Learning,TwiLearn EduTech Private Limited,Work from home,"₹ 10,000 - 20,000 /month",Fresher,N/A,PythonData AnalyticsMachine LearningData ScienceNatural Language Processing (NLP)Deep LearningArtificial intelligence,https://internshala.com/internship/detail/work-from-home-machine-learning-internship-at-twilearn-edutech-private-limited1767415180,Internshala
Internship,UI/UX Testing / IOS Testing,Across The Globe (ATG),Work from home,"₹ 2,500 - 8,000 /month",Fresher,N/A,PythonSeleniumManual TestingTest AutomationUsability Testing,https://internshala.com/internship/detail/work-from-home-ui-ux-testing-ios-testing-internship-at-across-the-globe-atg1767361507,Internshala
Internship,Full Stack Development,MyCleaners,Gurgaon,"₹ 12,000 - 15,000 /month",Fresher,N/A,PHPHTMLPython,https://internshala.com/internship/detail/full-stack-development-internship-in-gurgaon-at-mycleaners1767356112,Internshala
Internship,Data Analytics,The Affordable Organic Store,"Hyderabad, Kompally","₹ 8,000 /month",Fresher,N/A,PythonSQLData AnalyticsMS-ExcelData SciencePower BITableau,https://internshala.com/internship/detail/data-analytics-internship-in-multiple-locations-at-the-affordable-organic-store1767355645,Internshala
Internship,Web Development,Matha Theresa Foundation,Bangalore                                                                (Hybrid),Unpaid,Fresher,N/A,JavaPHPMySQLHTMLCSSJavaScriptjQuery+13 more,https://internshala.com/internship/detail/web-development-internship-in-bangalore-at-matha-theresa-foundation1767352669,Internshala
Internship,Business Analytics,MHLondon,Noida,"₹ 16,000 - 17,500 /month",Fresher,N/A,MS-OfficePythonData AnalyticsFinancial ModelingFinancial AnalysisAdvanced ExcelEnglish Proficiency (Spoken)+3 more,https://internshala.com/internship/detail/business-analytics-internship-in-noida-at-mhlondon1767345536,Internshala
Internship,Full Stack Development,Visiq Technology Private Limited,Work from home,"₹ 5,000 - 10,000 /month",Fresher,N/A,JavaScriptPythonAngularJSNode.jsReact,https://internshala.com/internship/detail/work-from-home-full-stack-development-internship-at-visiq-technology-private-limited1767339420,Internshala
Internship,Full Stack Development,Finflock Systems Private Limited,Work from home,"₹ 12,000 - 16,000 /month",Fresher,N/A,MySQLHTMLCSSJavaScriptPythonSQLGit+12 more,https://internshala.com/internship/detail/work-from-home-full-stack-development-internship-at-finflock-systems-private-limited1767335216,Internshala
Internship,Artificial Intelligence (AI),Experiences.digital,Gurgaon,"₹ 2,500 - 10,000 /month",Fresher,N/A,PythonNatural Language Processing (NLP)Artificial intelligence,https://internshala.com/internship/detail/artificial-intelligence-ai-internship-in-gurgaon-at-experiencesdigital1767335162,Internshala
Internship,Data Science,Treviax.in,Work from home,"₹ 15,000 - 20,000 /month",Fresher,N/A,PythonSQLData AnalyticsMachine LearningData ScienceNatural Language Processing (NLP)Deep Learning+1 more,https://internshala.com/internship/detail/work-from-home-data-science-internship-at-treviaxin1767330920,Internshala
Internship,AI Engineering (GPU-Accelerated Code Integration For Multimodal Systems),Syscon Electro Tech India Private Limited,Work from home,"₹ 5,000 - 8,000 /month",Fresher,N/A,OpenCVPythonLinuxGitHubC++ ProgrammingDeep LearningTensorFlow+5 more,https://internshala.com/internship/detail/work-from-home-ai-engineering-gpu-accelerated-code-integration-for-multimodal-systems-internship-at-syscon-electro-tech-india-private-limited1767330725,Internshala
Internship,Data Science,Maxgen Technologies Private Limited,Pune,"₹ 5,000 - 12,000 /month",Fresher,N/A,PythonMachine LearningData ScienceDeep LearningArtificial intelligence,https://internshala.com/internship/detail/part-time-data-science-internship-in-pune-at-maxgen-technologies-private-limited1767330168,Internshala
Internship,Web Development,TMS Foundation (bharatyuva.org),Work from home,Unpaid,Fresher,N/A,HTMLCSSCloud ComputingPythonJoomlaComputer NetworkingLinux+7 more,https://internshala.com/internship/detail/work-from-home-part-time-web-development-internship-at-tms-foundation-bharatyuvaorg1767330104,Internshala
Internship,Senior Developer,Digital Heroes,Lucknow                                                                (Hybrid),"₹ 20,000 - 30,000 /month",Fresher,N/A,JavaJavaScriptPythonSQLDjangoNode.jsNoSQL+2 more,https://internshala.com/internship/detail/part-time-senior-developer-internship-in-lucknow-at-digital-heroes1767328356,Internshala
